kaydasheva_s000001|якраз стільки, скільки треба було на дві душі. Вона задумала й вечеряти з Карпом окремо.|якраз стільки, скільки треба було на дві душі. Вона задумала й вечеряти з Карпом окремо.
kaydasheva_s002010|Параска знов вернулась, сперлась руками на ворота і з злістю осміхалась своїми сірими очима.|Параска знов вернулась, сперлась руками на ворота і з злістю осміхалась своїми сірими очима.
kaydasheva_s002011|Ну, то ти, Карпе, одріж йому землю з грушею.|Ну, то ти, Карпе, одріж йому землю з грушею.
kaydasheva_s002012|Тиждень прожила Мелашка в свекровій хаті, як у раю. Після вбогої батькової хати вона ніби ввійшла в панські покої.|Тиждень прожила Мелашка в свекровій хаті, як у раю. Після вбогої батькової хати вона ніби ввійшла в панські покої.
kaydasheva_s002013|Кайдашиха кинулась до драбини й була б справді почастувала нижчу половину Мотрі драбиною,|Кайдашиха кинулась до драбини й була б справді почастувала нижчу половину Мотрі драбиною,
kaydasheva_s002014|Вона довго терлась коло панів і набралась од їх трохи панства. До неї прилипла якась облесливість у розмові й повага до панів.|Вона довго терлась коло панів і набралась од їх трохи панства. До неї прилипла якась облесливість у розмові й повага до панів.
kaydasheva_s002015|Сура зітхнула на всю кімнату, так їй було шкода оселедців, але вона винесла й поклала перед людьми на столі.|Сура зітхнула на всю кімнату, так їй було шкода оселедців, але вона винесла й поклала перед людьми на столі.
kaydasheva_s002016|Хто видав так говорить матері! — сказала Кайдашиха навчаючим голосом. — Коли не вмієш гаразд, то треба вчитись. І я не вміла, але пани вивчили мене на економії.|Хто видав так говорить матері! - сказала Кайдашиха навчаючим голосом. - Коли не вмієш гаразд, то треба вчитись. І я не вміла, але пани вивчили мене на економії.
kaydasheva_s002017|Ховай, невісточко, в свою скриню, що запірвеш. Швидко сховаєш усе наше добро, ще й нас убгаєш у свою скриню, — промовила свекруха.|Ховай, невісточко, в свою скриню, що запірвеш. Швидко сховаєш усе наше добро, ще й нас убгаєш у свою скриню, - промовила свекруха.
kaydasheva_s002018|Тією коморою він притягував до себе велику силу богомольців і заробляв добрі гроші. Монастирі навіть не поробили для селян і таких комор.|Тією коморою він притягував до себе велику силу богомольців і заробляв добрі гроші. Монастирі навіть не поробили для селян і таких комор.
kaydasheva_s002019|А що, Лавріне, чи будемо городити тин, чи, може, й без тину обійдеться? — сказав Карпо.|А що, Лавріне, чи будемо городити тин, чи, може, й без тину обійдеться? - сказав Карпо.
kaydasheva_s002020|Всі вони троє пішли шукати тієї церкви на Подолі, що стояла під самою Андріївською горою, але таких церков було доволі. Вони ходили, розпитували в людей і зайшли на той цвинтар, де жила Мелашка.|Всі вони троє пішли шукати тієї церкви на Подолі, що стояла під самою Андріївською горою, але таких церков було доволі. Вони ходили, розпитували в людей і зайшли на той цвинтар, де жила Мелашка.
kaydasheva_s002021|Хіба з корчми йдучи. — сердито сказав Карпо і тим натякнув батькові, що батько любить часто ходить до корчми.|Хіба з корчми йдучи. - сердито сказав Карпо і тим натякнув батькові, що батько любить часто ходить до корчми.
kaydasheva_s002022|В четвер ранесенько, тільки що почало на світ благословиться, Кайдашиха прокинулась і збудила невістку.|В четвер ранесенько, тільки що почало на світ благословиться, Кайдашиха прокинулась і збудила невістку.
kaydasheva_s002023|Лаврін проворно совав заступом по землі. Карпо ледве володав руками, морщив лоба, неначе сердився на свого важкого й тупого заступа.|Лаврін проворно совав заступом по землі. Карпо ледве володав руками, морщив лоба, неначе сердився на свого важкого й тупого заступа.
kaydasheva_s002024|Бідна Балашиха голосила; Балаш і собі плакав;|Бідна Балашиха голосила; Балаш і собі плакав;
kaydasheva_s002025|то я сама візьму сокиру та й заходжусь коло хати.|то я сама візьму сокиру та й заходжусь коло хати.
kaydasheva_s002026|Діти аж плескали в долоні та щебетали на всю хату.|Діти аж плескали в долоні та щебетали на всю хату.
kaydasheva_s002027|Вона почула в собі дух господині, самостійної господині. Свекруху брала злість. Для неї невістчине мотовило гуло, неначе кусливі джмелі кругом її голови.|Вона почула в собі дух господині, самостійної господині. Свекруху брала злість. Для неї невістчине мотовило гуло, неначе кусливі джмелі кругом її голови.
kaydasheva_s002028|А коли, дочко, думаєш іти, то спечи собі святу пасочку та калач, та вкинь у торбу крашанок, та кільце ковбаски, та шматочок сала, щоб розговітись свяченим у Лаврі,|А коли, дочко, думаєш іти, то спечи собі святу пасочку та калач, та вкинь у торбу крашанок, та кільце ковбаски, та шматочок сала, щоб розговітись свяченим у Лаврі,
kaydasheva_s002029|вони восени перекопали батьківський город ровом, ще й дерезою обсадили,|вони восени перекопали батьківський город ровом, ще й дерезою обсадили,
kaydasheva_s002030|Вона вперше йшла до Києва. Прочани перейшли бір і прийшли на заставу. На заставі стояла черничка й причепилась до їх:|Вона вперше йшла до Києва. Прочани перейшли бір і прийшли на заставу. На заставі стояла черничка й причепилась до їх:
kaydasheva_s002031|Мотря вже сердито поглядала на свекруху й насилу здержувала свого язика. Виплескала вона хліб, посаджала в піч і подала на стіл обід. Борщ вийшов несмачний.|Мотря вже сердито поглядала на свекруху й насилу здержувала свого язика. Виплескала вона хліб, посаджала в піч і подала на стіл обід. Борщ вийшов несмачний.
kaydasheva_s002032|Одначе одного дня по обіді Мотря витягла з своєї скрині десять товстих починків, взяла мотовило й хотіла мотать. Кайдашиха побачила, що то не жарти, і спахнула.|Одначе одного дня по обіді Мотря витягла з своєї скрині десять товстих починків, взяла мотовило й хотіла мотать. Кайдашиха побачила, що то не жарти, і спахнула.
kaydasheva_s002033|Прочани розказували, що недавно одна молодиця одбилася од своїх людей і шукала їх на печерах, але та молодиця була русява й немолода.|Прочани розказували, що недавно одна молодиця одбилася од своїх людей і шукала їх на печерах, але та молодиця була русява й немолода.
kaydasheva_s002034|Молоді молодиці все чисто переказували Мотрі, як її судить у корчмі свекруха.|Молоді молодиці все чисто переказували Мотрі, як її судить у корчмі свекруха.
kaydasheva_s002035|Кайдаш з Кайдашихою то приступали до Карпа, то оступались, як хвилі б'ють у скелистий берег та знов одходять од його. Карпо стояв, неначе скеля.|Кайдаш з Кайдашихою то приступали до Карпа, то оступались, як хвилі б'ють у скелистий берег та знов одходять од його. Карпо стояв, неначе скеля.
kaydasheva_s002036|Півень сокотав та скликав курей.|Півень сокотав та скликав курей.
kaydasheva_s002037|Сонце стояло на вечірньому прузі, а Кайдаш не вертався додому. Карпо накинув свитку на плечі й пішов на той куток, де жила Мотря Довбишівна. Од учорашнього дня вона не виходила в його з думки.|Сонце стояло на вечірньому прузі, а Кайдаш не вертався додому. Карпо накинув свитку на плечі й пішов на той куток, де жила Мотря Довбишівна. Од учорашнього дня вона не виходила в його з думки.
kaydasheva_s002038|Карпо спинився під вербою на греблі. Мотря і собі стала.|Карпо спинився під вербою на греблі. Мотря і собі стала.
kaydasheva_s002039|Ой ти, дівчино, з кучерявої рути-м'яти звита та з гостролистої шельвії! — подумав Карпо і повернув назад до дому.|Ой ти, дівчино, з кучерявої рути-м'яти звита та з гостролистої шельвії! - подумав Карпо і повернув назад до дому.
kaydasheva_s002040|Лаврін устав і одчинив батькові двері. Батько переступив поріг, заточився, поминув хатні двері та й пішов лапать стіни в темних сінях.|Лаврін устав і одчинив батькові двері. Батько переступив поріг, заточився, поминув хатні двері та й пішов лапать стіни в темних сінях.
kaydasheva_s002041|Ану, Лавріне, бери заступа та йди на роботу, — загадував Карпо братові.|Ану, Лавріне, бери заступа та йди на роботу, - загадував Карпо братові.
kaydasheva_s002042|Легеньку руку маєш! Легенько ставиш, невістко! — крикнула Кайдашиха на Мотрю. — Одні ночви маємо, а ти й ті розбий.|Легеньку руку маєш! Легенько ставиш, невістко! - крикнула Кайдашиха на Мотрю. - Одні ночви маємо, а ти й ті розбий.
kaydasheva_s002043|Лаврін знав парубоцький звичай і повів усю парубочу ватагу в шинок. Він поставив їм могорича і вже в згоді з ними вернувся на вулицю.|Лаврін знав парубоцький звичай і повів усю парубочу ватагу в шинок. Він поставив їм могорича і вже в згоді з ними вернувся на вулицю.
kaydasheva_s002044|В хату ввійшов Лаврін, узяв віник і почав мести діл. Од вікон до самої печі простяглися ніби огняні стовпи, виткані з сонця та дрібного пороху, котрий ворушивсь в ясному промінні, неначе дрібнісінька мошка.|В хату ввійшов Лаврін, узяв віник і почав мести діл. Од вікон до самої печі простяглися ніби огняні стовпи, виткані з сонця та дрібного пороху, котрий ворушивсь в ясному промінні, неначе дрібнісінька мошка.
kaydasheva_s002045|Якби мені перекликать сюди Лавріна, я б навіки зосталась у матері! — думала Мелашка, поглядаючи на убогу хатину.|Якби мені перекликать сюди Лавріна, я б навіки зосталась у матері! - думала Мелашка, поглядаючи на убогу хатину.
kaydasheva_s002046|Та це вони, мабуть, в ворона граються, — обізвався насмішкувато Лаврін.|Та це вони, мабуть, в ворона граються, - обізвався насмішкувато Лаврін.
kaydasheva_s002047|Після такої колотнечі стара Кайдашиха заслабла. В неї нагнало око, як куряче яйце. Око стухло, але од того часу вона осліпла на праве око.|Після такої колотнечі стара Кайдашиха заслабла. В неї нагнало око, як куряче яйце. Око стухло, але од того часу вона осліпла на праве око.
kaydasheva_s002048|Старий священик сповідав людей. Сотня богомольців стояла кругом його і ждала. Баба Палажка кивнула на своїх рукою і повернулась до дверей.|Старий священик сповідав людей. Сотня богомольців стояла кругом його і ждала. Баба Палажка кивнула на своїх рукою і повернулась до дверей.
kaydasheva_s002049|В Палажчиній торбі була й паска, і чималий калач, і сало, і сіль, і навіть крашанки. Вона кланялась кожному в хаті й просила простити її гріхи. Прочани пішли до Києва.|В Палажчиній торбі була й паска, і чималий калач, і сало, і сіль, і навіть крашанки. Вона кланялась кожному в хаті й просила простити її гріхи. Прочани пішли до Києва.
kaydasheva_s002050|за ними почали заходить один до другого брати, а після всіх пересердились їх жінки, хоч од їх перших все лихо починалось. Брати зовсім помирились, і Лаврін держав до хреста Карпову дитину.|за ними почали заходить один до другого брати, а після всіх пересердились їх жінки, хоч од їх перших все лихо починалось. Брати зовсім помирились, і Лаврін держав до хреста Карпову дитину.
kaydasheva_s002051|Йдучи селом, Палажка заходила в декотрі хати, щоб попрощатися з тими молодицями, з котрими вона лаялась;|Йдучи селом, Палажка заходила в декотрі хати, щоб попрощатися з тими молодицями, з котрими вона лаялась;
kaydasheva_s002052|Твоя мати! Це вже пішлося наче з Петрового дня! Одна обпаскудила мені стіни, друга вікна побила. Ось тобі за те! Ось тобі! — крикнула Мотря й почала хапать рукою з калюжі грязь і кидати на Мелашчину хату.|Твоя мати! Це вже пішлося наче з Петрового дня! Одна обпаскудила мені стіни, друга вікна побила. Ось тобі за те! Ось тобі! - крикнула Мотря й почала хапать рукою з калюжі грязь і кидати на Мелашчину хату.
kaydasheva_s002053|Всі вони казали, що Мелашка покинула їх коло тієї церкви, що стоїть під самою Андріївською горою, на Подолі, а як звали ту церкву— ні одна баба не знала.|Всі вони казали, що Мелашка покинула їх коло тієї церкви, що стоїть під самою Андріївською горою, на Подолі, а як звали ту церкву- ні одна баба не знала.
kaydasheva_s002054|Це, мабуть, рябий Парасчин кнур? Він, каторжний, скакає через тини, як собака, — промовила мати.|Це, мабуть, рябий Парасчин кнур? Він, каторжний, скакає через тини, як собака, - промовила мати.
kaydasheva_s002055|Кайдаш пішов за його возом, розговорився з ним і йшов з ним до самого села.|Кайдаш пішов за його возом, розговорився з ним і йшов з ним до самого села.
kaydasheva_s002056|От їй здається, що вона стоїть з Лавріном у садку під черешнею, розмовляє з ним, дивиться йому в очі. Лаврін докоряє її за те, що він любив її, як свою душу,|От їй здається, що вона стоїть з Лавріном у садку під черешнею, розмовляє з ним, дивиться йому в очі. Лаврін докоряє її за те, що він любив її, як свою душу,
kaydasheva_s002057|Здоров, був, Карпе! — гукнув Грицько і почав обнімать та цілувать Карпа. Гостра неголена Грицькова борода колола Карпове лице, неначе голками.|Здоров, був, Карпе! - гукнув Грицько і почав обнімать та цілувать Карпа. Гостра неголена Грицькова борода колола Карпове лице, неначе голками.
kaydasheva_s002058|Жінко! Де ти у вражого сина діла двері? — кричав Кайдаш. — Чи це я вліз у ставок? Покарала мене свята п'ятінка! Прийдеться пропасти.|Жінко! Де ти у вражого сина діла двері? - кричав Кайдаш. - Чи це я вліз у ставок? Покарала мене свята п'ятінка! Прийдеться пропасти.
kaydasheva_s002059|Кабанчик закувікав та й потяг по землі зад з двома ногами.|Кабанчик закувікав та й потяг по землі зад з двома ногами.
kaydasheva_s002060|Молода молодиця залилась сльозами, як мала дитина. Лаврінові стало жаль молодої жінки.|Молода молодиця залилась сльозами, як мала дитина. Лаврінові стало жаль молодої жінки.
kaydasheva_s002061|Мірошник уже насипав борошном його мішки.|Мірошник уже насипав борошном його мішки.
kaydasheva_s002062|Сім'я літом мало сиділа в хаті, менше стало колотнечі.|Сім'я літом мало сиділа в хаті, менше стало колотнечі.
kaydasheva_s002063|Мелашка заспівала пісні. Пішов гук по лісі і розлився по долині срібною луною.|Мелашка заспівала пісні. Пішов гук по лісі і розлився по долині срібною луною.
kaydasheva_s002064|Вбирайся та йди з нами! Нічого тобі не поможе. Підеш ти з Лавріном знов до Києва та хоч покажеш, де загубила мою невістку, — гомонів Кайдаш.|Вбирайся та йди з нами! Нічого тобі не поможе. Підеш ти з Лавріном знов до Києва та хоч покажеш, де загубила мою невістку, - гомонів Кайдаш.
kaydasheva_s002065|Оддай мені яйця, злодійко! Нащо ти покрала наші яйця? — репетувала Мелашка.|Оддай мені яйця, злодійко! Нащо ти покрала наші яйця? - репетувала Мелашка.
kaydasheva_s002066|Кайдаш встав і почав балакати з чумаком. Побалакавши в хаті, Кайдаш вийшов на двір і пішов з ним за ворота.|Кайдаш встав і почав балакати з чумаком. Побалакавши в хаті, Кайдаш вийшов на двір і пішов з ним за ворота.
kaydasheva_s002067|сказала Палажка, обертаючись до Кайдашихи.|сказала Палажка, обертаючись до Кайдашихи.
kaydasheva_s002068|Кайдашиха таки випила чарку, хоч і скривилась, як середа на п'ятницю. Мелашчина краса таки розв'язала їй язик й витягла з його меду цілий вулик.|Кайдашиха таки випила чарку, хоч і скривилась, як середа на п'ятницю. Мелашчина краса таки розв'язала їй язик й витягла з його меду цілий вулик.
kaydasheva_s002069|Його думка літала коло якоїсь хати, в котрій він живе сам з своєю жінкою, сам господарює без батька, без матері і ні од кого не чує ніякого приказу та загаду.|Його думка літала коло якоїсь хати, в котрій він живе сам з своєю жінкою, сам господарює без батька, без матері і ні од кого не чує ніякого приказу та загаду.
kaydasheva_s002070|Лавріне! Мелашко! Вся чесна громадо! Збігайтеся сюди! Чи ви бачите, що наробила наша Мотруня?|Лавріне! Мелашко! Вся чесна громадо! Збігайтеся сюди! Чи ви бачите, що наробила наша Мотруня?
kaydasheva_s002071|Кайдаш з жінкою ввійшов у Довбишів двір. Надворі було гаряче, як літом. Сонце тільки що звернуло з півдня. Кайдашиха стала коло воріт і обтерла полою пил з жовтих чобіт.|Кайдаш з жінкою ввійшов у Довбишів двір. Надворі було гаряче, як літом. Сонце тільки що звернуло з півдня. Кайдашиха стала коло воріт і обтерла полою пил з жовтих чобіт.
kaydasheva_s002072|Карпо з Лавріном та з Кайдашихою пішли в волость, а Мотря з Мелашкою зостались у дворі коло волості.|Карпо з Лавріном та з Кайдашихою пішли в волость, а Мотря з Мелашкою зостались у дворі коло волості.
kaydasheva_s002073|Другого дня, в неділю, Лаврін не міг діждать вечора. Ніколи йому день не здавався таким довгим. Надвечір Лаврін накинув на плечі свитку, взяв у руки сопілку й пішов до млина.|Другого дня, в неділю, Лаврін не міг діждать вечора. Ніколи йому день не здавався таким довгим. Надвечір Лаврін накинув на плечі свитку, взяв у руки сопілку й пішов до млина.
kaydasheva_s002074|Вона глянула на його своїми темними очима, і йому здалося, що на житі блиснули дві зірки.|Вона глянула на його своїми темними очима, і йому здалося, що на житі блиснули дві зірки.
kaydasheva_s002075|Вони вийшли з церкви. Надворі була північ. З церкви висипала сила народу. Коло Лаври була гостиниця тільки для панів.|Вони вийшли з церкви. Надворі була північ. З церкви висипала сила народу. Коло Лаври була гостиниця тільки для панів.
kaydasheva_s002076|Дасть бог, приставлю через сіни хату, тоді будеш собі господинею, але в гурті все-таки лучче жити.|Дасть бог, приставлю через сіни хату, тоді будеш собі господинею, але в гурті все-таки лучче жити.
kaydasheva_s002077|Потривайте ж! — крикнула Мотря на весь город. — Це, мабуть, свекрушище помагала їм мірять! Це вона припустила собі на один пояс вздовж та на два пояси впоперек,|Потривайте ж! - крикнула Мотря на весь город. - Це, мабуть, свекрушище помагала їм мірять! Це вона припустила собі на один пояс вздовж та на два пояси впоперек,
kaydasheva_s002078|Що це таке? — думав чернець. — Така гарна молодиця, а лице таке тверде, як дірявий горщик; аж губи щемлять!|Що це таке? - думав чернець. - Така гарна молодиця, а лице таке тверде, як дірявий горщик; аж губи щемлять!
kaydasheva_s002079|Мотря поставила на стіл полумисок з сметаною й тарілку з шматочками сала. Кайдашиха не зводила з Мотрі очей, неначе хотіла випитать всю її душу.|Мотря поставила на стіл полумисок з сметаною й тарілку з шматочками сала. Кайдашиха не зводила з Мотрі очей, неначе хотіла випитать всю її душу.
kaydasheva_s002080|Піди в клуню та повісся! Третій підказував: Піди до ставка та втопись!|Піди в клуню та повісся! Третій підказував: Піди до ставка та втопись!
kaydasheva_s002081|Не йди до Мотрі позичати хліба, бо ноги рогачем поперебиваю! В неї снігу зимою не дістанеш. В Карповій противій хаті двері були одчинені. Мотря почула ці слова.|Не йди до Мотрі позичати хліба, бо ноги рогачем поперебиваю! В неї снігу зимою не дістанеш. В Карповій противій хаті двері були одчинені. Мотря почула ці слова.
kaydasheva_s002082|Мотря вхопила хворостину й кинулась у двері кулею, як птиця.|Мотря вхопила хворостину й кинулась у двері кулею, як птиця.
kaydasheva_s002083|Скинь її з драбини додолу, нехай собі голову скрутить, щоб знала, як лазити на наше горище, — кричала в темних сінях Кайдашиха.|Скинь її з драбини додолу, нехай собі голову скрутить, щоб знала, як лазити на наше горище, - кричала в темних сінях Кайдашиха.
kaydasheva_s002084|Що це ти, Мотре, вигадуєш? Ти хочеш знов розсердить батька? — сказав Карпо.|Що це ти, Мотре, вигадуєш? Ти хочеш знов розсердить батька? - сказав Карпо.
kaydasheva_s002085|Тим часом Мелашка служила в Києві в проскурниці. Вона прожила перший тиждень тихо, спокійно, як у бога за дверима. Робота в проскурниці була неважка після важкої роботи в свекрухи.|Тим часом Мелашка служила в Києві в проскурниці. Вона прожила перший тиждень тихо, спокійно, як у бога за дверима. Робота в проскурниці була неважка після важкої роботи в свекрухи.
kaydasheva_s002086|Я до тебе ладен щоночі ходить. Прощай, чорнобрива! Прощай, моє ясне сонечко! Десь ти, моя мила, з рожі та з барвінку звита, що додержала мене до самого світу, — сказав Лаврін.|Я до тебе ладен щоночі ходить. Прощай, чорнобрива! Прощай, моє ясне сонечко! Десь ти, моя мила, з рожі та з барвінку звита, що додержала мене до самого світу, - сказав Лаврін.
kaydasheva_s002087|Другого дня Мелашка вимела свою хату і половину сіней, неначе мотузком одміряла.|Другого дня Мелашка вимела свою хату і половину сіней, неначе мотузком одміряла.
kaydasheva_s002088|А хто піде в Єрусалим або щороку в Києві в Лаврі паску їстиме, або вмре на самий великдень, той спасеться, того душу янголи понесуть просто до бога.|А хто піде в Єрусалим або щороку в Києві в Лаврі паску їстиме, або вмре на самий великдень, той спасеться, того душу янголи понесуть просто до бога.
kaydasheva_s002089|Кайдашиха витягла з-під лави порожнього мішка й кинулась до Мотрі.|Кайдашиха витягла з-під лави порожнього мішка й кинулась до Мотрі.
kaydasheva_s002090|Йому здавалось, що його туди несуть крила. Цілу дорогу то сопілка його грала, то пісня ніби сама співалась.|Йому здавалось, що його туди несуть крила. Цілу дорогу то сопілка його грала, то пісня ніби сама співалась.
kaydasheva_s002091|Оддайте мені коня! — крикнув Карпо після всього, — бо як не оддасте, то я й сам візьму!|Оддайте мені коня! - крикнув Карпо після всього, - бо як не оддасте, то я й сам візьму!
kaydasheva_s002092|Чи ти ба, що твоя мати виробляє! Ото тобі перець з сіллю. Піди насип своїй матері повний рот перцю, ще й сліпе око потруси. Вона зовсім сказилась і без перцю.|Чи ти ба, що твоя мати виробляє! Ото тобі перець з сіллю. Піди насип своїй матері повний рот перцю, ще й сліпе око потруси. Вона зовсім сказилась і без перцю.
kaydasheva_s002093|Я розкидала: не мети свого сміття під мою призьбу, бо я тебе ним колись нагодую, — сказала з злістю Мотря.|Я розкидала: не мети свого сміття під мою призьбу, бо я тебе ним колись нагодую, - сказала з злістю Мотря.
kaydasheva_s002094|Гляди, щоб навпісля не жалкував. Ми робили в гурті однією худобою, а ти знаєш, що в гурті каша їсться, а гуща дітей не розгонить.|Гляди, щоб навпісля не жалкував. Ми робили в гурті однією худобою, а ти знаєш, що в гурті каша їсться, а гуща дітей не розгонить.
kaydasheva_s002095|Кайдашиха виставила навмисне напоказ громаді жовті нові сап'янці. Сонце грало на чоботях. Сап'янці жовтіли на всю вулицю.|Кайдашиха виставила навмисне напоказ громаді жовті нові сап'янці. Сонце грало на чоботях. Сап'янці жовтіли на всю вулицю.
kaydasheva_s002096|Ти, Кайдашихо, не пускай з нею більше Мелашки до Києва, як ще Мелашка вернеться додому. Тепер я знаю, як вона розговляється в Києві, — говорила баба Параска.|Ти, Кайдашихо, не пускай з нею більше Мелашки до Києва, як ще Мелашка вернеться додому. Тепер я знаю, як вона розговляється в Києві, - говорила баба Параска.
kaydasheva_s002097|Батько подарував Лаврінові ту грушу иа багату кутю тоді, як Лаврін чхнув за вечерею. В сім'ї всі звали ту грушу Лавріновою. За це знали всі на кутку.|Батько подарував Лаврінові ту грушу иа багату кутю тоді, як Лаврін чхнув за вечерею. В сім'ї всі звали ту грушу Лавріновою. За це знали всі на кутку.
kaydasheva_s002098|Опізнилась. Чому пак не опізнитись, коли понабирали в хату невісток з Западинців.|Опізнилась. Чому пак не опізнитись, коли понабирали в хату невісток з Западинців.
kaydasheva_s002099|Дві сім'ї, як дві чорні хмарі, наближались одна до другої, сумно й понуро. Мортя стояла коло тину висока та здорова, така заввишки, як Карпо, з широким лобом,|Дві сім'ї, як дві чорні хмарі, наближались одна до другої, сумно й понуро. Мортя стояла коло тину висока та здорова, така заввишки, як Карпо, з широким лобом,
kaydasheva_s002100|На Западинцях, мабуть, i не бачили таких паляниць, не тільки що не їли, — сказала Кайдашиха, подаючи Мелашці пухку паляницю.|На Западинцях, мабуть, i не бачили таких паляниць, не тільки що не їли, - сказала Кайдашиха, подаючи Мелашці пухку паляницю.
kaydasheva_s002101|Кайдашиха, недовго думавши, вхопила кухоль з Мотриної діжки та — хрьоп ним об землю.|Кайдашиха, недовго думавши, вхопила кухоль з Мотриної діжки та - хрьоп ним об землю.
kaydasheva_s002102|Та й робоча ж ваша дочка! Що за золота в вас дитина. Там так пильнує коло роботи, що й не розгинається.|Та й робоча ж ваша дочка! Що за золота в вас дитина. Там так пильнує коло роботи, що й не розгинається.
kaydasheva_s002103|Чернець лякав його тим, що господь покарав його за якийсь гріх, як не свій, то батьків або материн. Лаврін трохи вже не зостався, але йому дуже хотілося знайти Мелашку!|Чернець лякав його тим, що господь покарав його за якийсь гріх, як не свій, то батьків або материн. Лаврін трохи вже не зостався, але йому дуже хотілося знайти Мелашку!
kaydasheva_s002104|Молодиці водили очима слідком за її рукою, а Мелашка стояла, мов кам'яна. Ті золоті верхи та білі дзвіниці здавалися для неї якоюсь дивною казкою.|Молодиці водили очима слідком за її рукою, а Мелашка стояла, мов кам'яна. Ті золоті верхи та білі дзвіниці здавалися для неї якоюсь дивною казкою.
kaydasheva_s002105|Вас, тату, все карає як не п'ятниця, так неділя, — сказав Карпо насмішкувато.|Вас, тату, все карає як не п'ятниця, так неділя, - сказав Карпо насмішкувато.
kaydasheva_s002106|Біла стіна стала ряба, неначе її обсіли жуки та гедзі.|Біла стіна стала ряба, неначе її обсіли жуки та гедзі.
kaydasheva_s002107|Син рушив з двора, виїхав з села й поїхав понад Россю. Дорога йшла з гори та на гору, з гори та на гору, над самою Россю. Млин був під самим Богуславом.|Син рушив з двора, виїхав з села й поїхав понад Россю. Дорога йшла з гори та на гору, з гори та на гору, над самою Россю. Млин був під самим Богуславом.
kaydasheva_s002108|Кайдашиха вгніздилась на весь віз, Кайдаш сів спереду й поганяв воли. Лаврін ішов за возом. Кайдашиха проїхала коло шинку, де стояла купа чоловіків, гордовито підняла голову й добридень людям не сказала.|Кайдашиха вгніздилась на весь віз, Кайдаш сів спереду й поганяв воли. Лаврін ішов за возом. Кайдашиха проїхала коло шинку, де стояла купа чоловіків, гордовито підняла голову й добридень людям не сказала.
kaydasheva_s002109|Мотря стояла під хатою проти білої стіни.|Мотря стояла під хатою проти білої стіни.
kaydasheva_s002110|Кайдаш глянув на янголів, вони розтулювали роти і співали разом з дяком тоненькими голосами. Кайдаш стривожився й одвів очі.|Кайдаш глянув на янголів, вони розтулювали роти і співали разом з дяком тоненькими голосами. Кайдаш стривожився й одвів очі.
kaydasheva_s002111|Лавріне! Втри жінці піт з лоба, а то ще в діжу покапає, — знов сказала сердито Кайдашиха.|Лавріне! Втри жінці піт з лоба, а то ще в діжу покапає, - знов сказала сердито Кайдашиха.
kaydasheva_s002112|Тієї могили прочани не минали ніколи.|Тієї могили прочани не минали ніколи.
